level,id_study,Country,iso,is_new,start_year,end_year,mid_year,survey,survey_short,survey_type,urban_rural,age_range_F,age_range_M,N_tc_F,N_tc_M,N_ldl_F,N_ldl_M,N_hdl_F,N_hdl_M,N_non_hdl_F,N_non_hdl_M,N_tc_hdl_r_F,N_tc_hdl_r_M,N_trg_F,N_trg_M,N_hyperchol_F,N_hyperchol_M,N_med_F,N_med_M,is_ldl_calc,is_ldl_fasting,fasting_hr,device_tc,device_ldl,device_hdl,device_trg,Region,Superregion
last round,JPN_2008_1392999,Japan,JPN,No,NA,NA,2008,   ,NA,Community,both, 40+, 40+,11944,6562,,,,,,,,,,,,,,,,,,,,,,High-income Asia Pacific,High-income Asia Pacific
individual,JPN_2009_Fukori,Japan,JPN,Yes,2009,2009,2009,Fukuroi kids health study,Fukori,Community,urban, 13-14, 13-14,357,388,357,388,357,388,357,388,357,388,,,357,388,,,0,0,,lab,lab,lab,,High-income Asia Pacific,High-income Asia Pacific
summary,JPN_2009_NHNS,Japan,JPN,Yes,2009,2009,2009,National Health and Nutrition Survey,NHNS,National,both, 20+, 20+,2538,1736,2538,1736,2538,1735,2538,1735,2538,1735,2538,1735,2538,1736,,,0,2,,lab,lab,lab,lab,High-income Asia Pacific,High-income Asia Pacific
summary,JPN_2010_NHNS,Japan,JPN,Yes,2010,2010,2010,National Health and Nutrition Survey,NHNS,National,both, 20+, 20+,2254,1597,2254,1597,2254,1597,2254,1597,2254,1597,2254,1597,2254,1597,,,0,2,,lab,lab,lab,lab,High-income Asia Pacific,High-income Asia Pacific
individual,JPN_2010_Fukori,Japan,JPN,Yes,2010,2010,2010,Fukuroi kids health study,Fukori,Community,urban, 13-14, 13-14,387,360,387,360,387,360,387,360,387,360,,,387,360,,,0,0,,lab,lab,lab,,High-income Asia Pacific,High-income Asia Pacific
summary,JPN_2011_THSAD,Japan,JPN,Yes,2011,2011,2011,The Tokyo Health Service Association Database,THSAD,Community,urban, 20+, 20+,18888,39350,45076,69405,45216,69584,18888,39350,18888,39350,41385,68341,18888,39350,,,0,,,lab,lab,lab,lab,High-income Asia Pacific,High-income Asia Pacific
summary,JPN_2011_NHNS,Japan,JPN,Yes,2011,2011,2011,National Health and Nutrition Survey,NHNS,National,both, 20+, 20+,2082,1463,2082,1463,2082,1463,2082,1463,2082,1463,2082,1463,2082,1463,,,0,2,,lab,lab,lab,lab,High-income Asia Pacific,High-income Asia Pacific
individual,JPN_2011_Fukori,Japan,JPN,Yes,2011,2011,2011,Fukuroi kids health study,Fukori,Community,urban, 13-14, 13-14,369,402,369,402,369,402,369,402,369,402,,,369,402,,,0,0,,lab,lab,lab,,High-income Asia Pacific,High-income Asia Pacific
summary,JPN_2012_NHNS,Japan,JPN,Yes,2012,2012,2012,National Health and Nutrition Survey,NHNS,National,both, 20+, 20+,8314,5766,8314,5765,8314,5766,8314,5766,8314,5766,,,8314,5766,,,0,2,,lab,lab,lab,lab,High-income Asia Pacific,High-income Asia Pacific
individual,JPN_2012_Fukori,Japan,JPN,Yes,2012,2012,2012,Fukuroi kids health study,Fukori,Community,urban, 13-14, 13-14,353,432,353,432,353,432,353,432,353,432,,,353,432,,,0,0,,lab,lab,lab,,High-income Asia Pacific,High-income Asia Pacific
summary,JPN_2013_NHNS,Japan,JPN,Yes,2013,2013,2013,National Health and Nutrition Survey,NHNS,National,both, 20+, 20+,1905,1382,1905,1382,1905,1382,1905,1382,1905,1382,1905,1382,1905,1382,,,0,2,,lab,lab,lab,lab,High-income Asia Pacific,High-income Asia Pacific
individual,JPN_2013_Fukori,Japan,JPN,Yes,2013,2013,2013,Fukuroi kids health study,Fukori,Community,urban, 13-14, 13-14,405,387,405,387,405,387,405,387,405,387,,,405,387,,,0,0,,lab,lab,lab,,High-income Asia Pacific,High-income Asia Pacific
summary,JPN_2014_Nagahama,Japan,JPN,Yes,2012,2016,2014,The Nagahama Study,Nagahama,Community,rural, 35-80, 35-80,6619,3206,6619,3206,6619,3206,6619,3206,6619,3206,6619,3206,6619,3206,,,0,2,12.2±4.1; including both fasting and non-fasting participants,lab,lab,lab,lab,High-income Asia Pacific,High-income Asia Pacific
summary,JPN_2014_NHNS,Japan,JPN,Yes,2014,2014,2014,National Health and Nutrition Survey,NHNS,National,both, 20+, 20+,2020,1473,2020,1473,2020,1473,2020,1473,2020,1473,2020,1473,2020,1473,,,0,2,,lab,lab,lab,lab,High-income Asia Pacific,High-income Asia Pacific
summary,JPN_2015_NHNS,Japan,JPN,Yes,2015,2015,2015,National Health and Nutrition Survey,NHNS,National,both, 20+, 20+,1966,1336,1966,1336,1966,1336,1966,1336,1966,1336,1966,1336,1966,1336,,,0,2,,lab,lab,lab,lab,High-income Asia Pacific,High-income Asia Pacific
summary,JPN_2016_NHNS,Japan,JPN,Yes,2016,2016,2016,National Health and Nutrition Survey,NHNS,National,both, 20+, 20+,6696,4655,6696,4655,6696,4655,6696,4655,6696,4655,,,6696,4655,,,0,2,,lab,lab,lab,lab,High-income Asia Pacific,High-income Asia Pacific
summary,JPN_2017_NHNS,Japan,JPN,Yes,2017,2017,2017,National Health and Nutrition Survey,NHNS,National,both, 20+, 20+,1695,1212,1695,1213,1695,1211,1695,1211,1695,1211,1695,1213,1695,1212,,,0,2,,lab,lab,lab,lab,High-income Asia Pacific,High-income Asia Pacific
summary,JPN_2018_NHNS,Japan,JPN,Yes,2018,2018,2018,National Health and Nutrition Survey,NHNS,National,both, 20+, 20+,1729,1203,1729,1203,1729,1203,1729,1203,1729,1203,1729,1203,1729,1203,,,0,2,,lab,lab,lab,lab,High-income Asia Pacific,High-income Asia Pacific
last round,JOR_1995_15400200,Jordan,JOR,No,NA,NA,1995,"Jaddou, 1996 (92)",NA,Community,urban, 25+, 25+,1434,839,,,,,,,,,,,,,,,,,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,JOR_2004_BRFSS,Jordan,JOR,Yes,2004,2004,2004,Behavioural Risk Factor Surveillence Survey,BRFSS,National,rural, 18+, 18+,465,235,470,235,466,235,464,235,464,235,470,235,465,235,1974,1349,1,1,11,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,JOR_2007_BRFSS,Jordan,JOR,Yes,2007,2007,2007,Behavioural Risk Factor Surveillence Survey,BRFSS,National,both, 18+, 18+,431,331,431,331,432,330,432,329,432,329,432,332,431,331,1563,1819,1,1,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,JOR_2009_MAVDS,Jordan,JOR,Yes,2009,2009,2009,Metablic abnomalities and vitamin D study,MAVDS,National,both, 10+, 10+,3733,1496,3735,1497,3727,1489,3729,1489,3729,1490,3733,1497,3733,1496,3739,1499,0,1,9,lab,lab,lab,lab,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,JOR_2016_NCDDS,Jordan,JOR,Yes,2016,2017,2016,National Cardiovascular Diseases and Diabetes Study (NCDDS),NCDDS,National,both, 18+, 18+,2735,1182,2734,1178,2734,1179,2734,1179,2734,1179,2734,1181,2735,1182,2740,1174,0,1,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,JOR_2019_STEPS,Jordan,JOR,Yes,2019,2019,2019,STEPS,STEPS,National,both, 18-69, 18-69,2224,1266,2180,1228,2222,1265,2220,1264,2221,1265,2225,1265,2224,1266,2240,1281,1,,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
summary,KAZ_2015_Almaty,Kazakhstan,KAZ,Yes,2015,2015,2015,Almaty STEPS,Almaty,Subnational,both, 18-69, 18-69,1145,382,1125,366,1145,381,1145,381,1145,381,1143,382,1145,382,,,0,1,8,lab,lab,lab,lab,Central Asia,Central Asia and North Africa-Middle East
summary,KAZ_2015_Shymkent,Kazakhstan,KAZ,Yes,2015,2015,2015,Shymkent STEPS,Shymkent,Subnational,both, 18-69, 18-69,803,349,833,357,830,360,795,343,795,343,842,366,803,349,,,0,1,8,lab,lab,lab,lab,Central Asia,Central Asia and North Africa-Middle East
summary,KAZ_2016_Aktobe,Kazakhstan,KAZ,Yes,2015,2016,2016,Aktobe STEPS,Aktobe,Subnational,both, 18-69, 18-69,1143,334,1147,341,1143,335,1138,330,1138,330,1145,336,1143,334,,,0,1,8,lab,lab,lab,lab,Central Asia,Central Asia and North Africa-Middle East
individual,KAZ_2019_Karaganda,Kazakhstan,KAZ,Yes,2019,2019,2019,A health status assessment of a population of Karaganda urban region,Karaganda,Community,urban, 18+, 18+,665,316,666,316,665,316,664,316,664,316,,,665,316,669,325,0,1,,,,,,Central Asia,Central Asia and North Africa-Middle East
individual,KEN_2015_STEPS,Kenya,KEN,Yes,2015,2015,2015,STEPS,STEPS,National,both, 18-69, 18-69,2386,1639,,,2380,1629,1900,1100,1902,1100,,,2386,1639,2392,1641,,,,cardiocheck,,cardiocheck,,East Africa,Sub-Saharan Africa
individual,KIR_1981_ESK_urban,Kiribati,KIR,Yes,1981,1981,1981,Epidemiological survey of Kiribati,ESK_urban,Subnational,urban, 20+, 20+,875,915,,,,,,,,,874,914,875,915,,,,,,,,,,Polynesia and Micronesia,Oceania
individual,KIR_1981_ESK_rural,Kiribati,KIR,Yes,1981,1981,1981,Epidemiological survey of Kiribati,ESK_rural,Subnational,rural, 20+, 20+,522,467,,,,,,,,,519,466,522,467,,,,,,,,,,Polynesia and Micronesia,Oceania
individual,KIR_2004_STEPS,Kiribati,KIR,Yes,2004,2004,2004,STEPS,STEPS,National,both, 15-64, 15-64,483,299,,,,,,,,,,,483,299,,,,,,accutrend,,,,Polynesia and Micronesia,Oceania
individual,KIR_2016_STEPS,Kiribati,KIR,Yes,2015,2016,2016,STEPS,STEPS,National,both, 18-69, 18-69,662,534,,,540,411,460,312,464,316,,,662,534,666,537,,,,cardiocheck,,cardiocheck,,Polynesia and Micronesia,Oceania
individual,KWT_2006_STEPS,Kuwait,KWT,Yes,2006,2006,2006,STEPS,STEPS,National,both, 20-64, 20-64,1296,914,1271,885,1296,912,1296,912,1296,912,1294,914,1296,914,,,1,,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,KWT_2013_KDEP,Kuwait,KWT,Yes,2011,2014,2013,Kuwait Diabetes Epidemiology Program,KDEP,National,urban, 18-82, 18-82,2148,2781,2134,2722,2146,2772,2146,2772,2146,2772,2148,2780,2148,2781,2144,2754,0,1,12,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,KWT_2014_STEPS,Kuwait,KWT,Yes,2014,2014,2014,STEPS,STEPS,National,both, 18-69, 18-69,1619,995,1609,971,1617,993,1617,993,1617,993,1619,995,1619,995,2406,1458,1,,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,KGZ_2013_STEPS,Kyrgyzstan,KGZ,Yes,2013,2013,2013,STEPS,STEPS,National,both, 25-64, 25-64,1583,929,,,,,,,,,,,1583,929,1583,929,,,,cardiocheck,,,,Central Asia,Central Asia and North Africa-Middle East
individual,LAO_2013_STEPS,Lao PDR,LAO,Yes,2013,2013,2013,STEPS,STEPS,National,both, 18-64, 18-64,1449,964,,,1436,952,1358,825,1360,825,,,1449,964,1432,946,,,,cardiocheck,,cardiocheck,,South East Asia,East and South East Asia
summary,LVA_2009_CRFS,Latvia,LVA,Yes,2008,2009,2009,Cardiovascular risk factor study,CRFS,National,both, 25-74, 25-74,2413,1368,2413,1368,2413,1368,2411,1365,2411,1365,2413,1367,2413,1368,,,0,,,,,,,Eastern Europe,Central and Eastern Europe
individual,LBN_2017_STEPS,Lebanon,LBN,Yes,2017,2017,2017,STEPS,STEPS,National,both, 18-69, 18-69,747,446,733,433,747,446,747,446,747,446,747,446,747,446,750,448,1,,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,LSO_2012_STEPS,Lesotho,LSO,Yes,2012,2012,2012,STEPS,STEPS,National,both, 25-64, 25-64,1339,684,,,1340,694,1098,453,1101,457,,,1339,684,1355,705,,,,cardiocheck,,cardiocheck,,Southern Africa,Sub-Saharan Africa
last round,LBY_1999_15434002,Libya,LBY,No,NA,NA,1999,"Kadiki, 2001 (93)",NA,Community,both, 25-84, 25-84,334,184,,,,,,,,,,,,,,,,,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
last round,LBY_1999_15434101,Libya,LBY,No,NA,NA,1999,"Buysschaert, 2001 (94)",NA,Community,urban, 15+, 15+,241,150,,,,,,,,,,,,,,,,,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,LBY_2009_STEPS,Libya,LBY,Yes,2009,2009,2009,STEPS,STEPS,National,both, 25-64, 25-64,1017,1188,,,,,,,,,957,1120,1017,1188,1016,1188,,,,accutrend,,,accutrend,North Africa and Middle East,Central Asia and North Africa-Middle East
summary,LTU_1973_KRIS,Lithuania,LTU,Yes,1972,1974,1973,Kaunas Rotterdam Intervention Study (KRIS),KRIS,Community,urban, , 45-59,,2371,,,,,,,,,,,,2371,,,,,,lab,,,,Eastern Europe,Central and Eastern Europe
summary,LTU_1979_MPIHD,Lithuania,LTU,Yes,1977,1980,1979,"Multifactorial Prevention of Ischaemic Heart Disease, Kaunas",MPIHD,Community,urban, , 40-59,,5633,,,,,,,,,,,,5633,,,,,,lab,,,,Eastern Europe,Central and Eastern Europe
monica,LTU_1984_MONICA-KAUa,Lithuania,LTU,Yes,1983,1985,1984,"MONICA, Kaunas",MONICA-KAUa,Community,urban, 35-64, 35-64,735,727,,,625,667,625,666,625,666,,,,,,,,,,lab,,lab,,Eastern Europe,Central and Eastern Europe
monica,LTU_1987_MONICA-KAUa,Lithuania,LTU,Yes,1986,1987,1987,"MONICA, Kaunas",MONICA-KAUa,Community,urban, 35-64, 35-64,840,848,,,808,814,808,814,808,814,,,,,,,,,,lab,,lab,,Eastern Europe,Central and Eastern Europe
summary,LTU_1987_CINDI,Lithuania,LTU,Yes,1987,1987,1987,Countrywide Integrated Noncommunicable Diseases Intervention Programme survey,CINDI,Subnational,rural, 25-64, 25-64,1075,963,886,788,1019,887,1019,886,1019,885,934,859,1075,963,,,1,1,12,lab,lab,lab,lab,Eastern Europe,Central and Eastern Europe
monica,LTU_1992_MONICA-KAUa,Lithuania,LTU,Yes,1992,1993,1992,"MONICA, Kaunas",MONICA-KAUa,Community,urban, 35-64, 35-64,613,596,,,583,572,582,571,582,571,,,,,,,,,,lab,,lab,,Eastern Europe,Central and Eastern Europe
summary,LTU_1993_CINDI,Lithuania,LTU,Yes,1992,1993,1993,Countrywide Integrated Noncommunicable Diseases Intervention Programme survey,CINDI,Subnational,rural, 25-64, 25-64,820,645,595,449,712,552,712,551,712,551,660,515,820,645,,,1,1,12,lab,lab,lab,lab,Eastern Europe,Central and Eastern Europe
summary,LTU_1999_CINDI,Lithuania,LTU,Yes,1998,1999,1999,Countrywide Integrated Noncommunicable Diseases Intervention Programme survey,CINDI,Subnational,rural, 25-64, 25-64,975,784,948,770,949,769,949,769,949,769,975,784,975,784,,,1,1,12,lab,lab,lab,lab,Eastern Europe,Central and Eastern Europe
summary,LTU_2002_MONICA4,Lithuania,LTU,Yes,2001,2002,2002,MONICA4,MONICA4,Community,urban, 35-64, 35-64,776,622,723,603,723,603,723,603,723,603,775,621,776,622,,,1,1,8,lab,lab,lab,lab,Eastern Europe,Central and Eastern Europe
summary,LTU_2007_MONICA4-fu,Lithuania,LTU,Yes,2006,2008,2007,MONICA4 Follow-up,MONICA4-fu,Community,urban, 45-69, 45-69,424,317,414,311,415,314,415,314,415,314,424,317,424,317,,,1,1,8,lab,lab,lab,lab,Eastern Europe,Central and Eastern Europe
summary,LTU_2007_CINDI,Lithuania,LTU,Yes,2006,2007,2007,Countrywide Integrated Noncommunicable Diseases Intervention Programme survey,CINDI,Subnational,rural, 25-64, 25-64,971,718,972,718,972,718,971,718,971,718,972,718,970,718,,,1,1,12,lab,lab,lab,lab,Eastern Europe,Central and Eastern Europe
summary,LTU_2007_HAPIEE,Lithuania,LTU,Yes,2006,2008,2007," Health, Alcohol and Psychosocial factors In Eastern Europe (HAPIEE)",HAPIEE,Community ,urban, 45-75, 45-75,3855,3211,3776,3096,3802,3144,3802,3144,3802,3144,3855,3211,3855,3211,,,0,1,44477,lab,lab,lab,lab,Eastern Europe,Central and Eastern Europe
summary,LUX_2008_ORISCAV,Luxembourg,LUX,Yes,2007,2009,2008,Observation of cardiovascular risk factors in Luxembourg (ORISCAV-LUX),ORISCAV,National,both, 18-69, 18-69,731,696,731,696,731,696,731,696,731,696,731,696,692,656,,,2,1,8,lab,lab,lab,lab,North Western Europe,High-income Western countries
summary,LUX_2014_EHES,Luxembourg,LUX,Yes,2013,2015,2014,European Health Examination Survey ,EHES,National,both, 25-64, 25-64,755,693,755,693,755,693,755,693,755,693,755,693,755,693,,,0,2,,lab,lab,lab,lab,North Western Europe,High-income Western countries
summary,LUX_2017_ORISCAV,Luxembourg,LUX,Yes,2016,2018,2017,Observation of Cradiovascular Risk Factors in Luxembourg (ORISCAV-LUX2),ORISCAV,National,both, 25-79, 25-79,733,651,733,650,733,650,733,650,733,650,733,651,733,651,,,0,2,,lab,lab,lab,lab,North Western Europe,High-income Western countries
summary,MWI_2009_MLSFH,Malawi,MWI,Yes,2009,2009,2009,Malawi Longitudinal Study of Families and Health (MLSFH),MLSFH,Subnational,rural, 18+, 18+,480,274,480,274,480,274,,,,,,,480,274,,,0,0,,,,,,East Africa,Sub-Saharan Africa
individual,MWI_2009_STEPS,Malawi,MWI,Yes,2009,2009,2009,STEPS,STEPS,National,both, 25-64, 25-64,1687,775,,,,,,,,,,,1687,775,2109,1015,,,,accutrend,,,,East Africa,Sub-Saharan Africa
individual,MWI_2017_STEPS,Malawi,MWI,Yes,2017,2017,2017,STEPS,STEPS,National,both, 18-69, 18-69,2379,1345,,,,,,,,,,,2379,1345,2396,1356,,,,cardiocheck,,,,East Africa,Sub-Saharan Africa
individual,MYS_1996_NHMS,Malaysia,MYS,Yes,1996,1996,1996,National Health and Morbidity Survey (NHMS),NHMS,National,both, 18+, 18+,8913,7341,,,,,,,,,,,8913,7341,,,,,,accutrend,,,,South East Asia,East and South East Asia
individual,MYS_2004_citRampal,Malaysia,MYS,Yes,2004,2004,2004,"Rampal et al., Public Health 2008; 122: 11-8",citRampal,National,both, 15+, 15+,6814,4456,6800,4440,6814,4456,6814,4456,6814,4456,6813,4456,6814,4456,3435,2601,1,1,,,,,,South East Asia,East and South East Asia
individual,MYS_2006_NHMS,Malaysia,MYS,Yes,2006,2006,2006,National Health and Morbidity Survey (NHMS),NHMS,National,both, 18+, 18+,17520,14100,,,,,,,,,,,17520,14100,,,,,,accutrend,,,,South East Asia,East and South East Asia
individual,MYS_2008_MSSMrural,Malaysia,MYS,Yes,2008,2008,2008,Metabolic Syndrome Study in Malaysia,MSSMrural,National,rural, 18+, 18+,1334,736,1334,738,1334,737,1340,738,1340,738,1335,737,1334,736,1368,754,0,1,,,,,,South East Asia,East and South East Asia
individual,MYS_2008_MSSMurban,Malaysia,MYS,Yes,2008,2008,2008,Metabolic Syndrome Study in Malaysia,MSSMurban,National,urban, 18+, 18+,1416,747,1408,739,1406,740,1422,755,1423,755,1418,747,1416,747,1449,769,0,1,,,,,,South East Asia,East and South East Asia
individual,MYS_2011_NHMS,Malaysia,MYS,Yes,2011,2011,2011,National Health and Morbidity Survey (NHMS),NHMS,National,both, 18+, 18+,8801,7792,,,,,,,,,,,8801,7792,9566,8386,,1,,cardiocheck,,,,South East Asia,East and South East Asia
individual,MYS_2015_NHMS,Malaysia,MYS,Yes,2015,2015,2015,National Health and Morbidity Survey (NHMS),NHMS,National,both, 18+, 18+,9534,8794,,,,,,,,,,,9534,8794,10385,9426,,1,,,,,,South East Asia,East and South East Asia
monica,MLT_1984_MONICA-MLTa,Malta,MLT,Yes,1984,1984,1984,"MONICA, Malta",MONICA-MLTa,Community,both, 25-64, 25-64,635,657,,,637,654,631,652,631,652,,,,,,,,,,lab,,lab,,South Western Europe,High-income Western countries
individual,MLT_2015_SAHHTEK,Malta,MLT,Yes,2014,2016,2015,SAHHTEK - The University of Malta Health and Wellbeing Study,SAHHTEK,National,both, 18-70, 18-70,1021,836,1025,836,1024,836,1017,836,1019,836,1023,835,1021,836,1025,836,0,1,,,,,,South Western Europe,High-income Western countries
individual,MHL_2002_STEPS,Marshall Islands,MHL,Yes,2002,2002,2002,STEPS,STEPS,National,both, 15-64, 15-64,564,403,552,386,562,399,562,398,562,398,561,402,564,403,,,1,,,lab,lab,lab,lab,Polynesia and Micronesia,Oceania
individual,MHL_2018_STEPS,Marshall Islands,MHL,Yes,2017,2018,2018,STEPS,STEPS,National,both, 18+, 18+,1506,1317,,,,,,,,,,,1506,1317,1525,1358,,,,,,,,Polynesia and Micronesia,Oceania
individual,MRT_2006_STEPS,Mauritania,MRT,Yes,2006,2006,2006,STEPS,STEPS,Community,urban, 15-64, 15-64,1267,1099,,,,,,,,,,,1267,1099,,,,,,lab,,,,West Africa,Sub-Saharan Africa
individual,MUS_1987_MNCS,Mauritius,MUS,Yes,1987,1987,1987,Mauritius Noncommunicable Disease Survey,MNCS,National,both, 25-74, 25-74,2639,2326,2577,2189,2649,2335,2634,2317,2636,2319,2638,2332,2639,2326,,,1,1,,lab,lab,lab,lab,East Africa,Sub-Saharan Africa
individual,MUS_1992_MNCS,Mauritius,MUS,Yes,1992,1992,1992,Mauritius Noncommunicable Disease Survey,MNCS,National,both, 25-74, 25-74,3480,2988,3450,2887,3474,2976,3474,2975,3474,2975,3480,2984,3480,2988,,,1,1,,lab,lab,lab,lab,East Africa,Sub-Saharan Africa
individual,MUS_1998_MNCS,Mauritius,MUS,Yes,1998,1998,1998,Mauritius Noncommunicable Disease Survey,MNCS,National,both, 25-74, 25-74,3245,2560,,,,,,,,,3247,2562,3245,2560,,,1,1,,lab,,,lab,East Africa,Sub-Saharan Africa
individual,MUS_2009_MNCS,Mauritius,MUS,Yes,2009,2009,2009,Mauritius Noncommunicable Disease Survey,MNCS,National,both, 19-74, 19-74,3424,2889,3410,2792,3425,2883,3424,2880,3424,2881,3425,2890,3424,2889,,,1,1,11.46955143,lab,lab,lab,lab,East Africa,Sub-Saharan Africa
individual,MEX_1988_ENSE,Mexico,MEX,Yes,1988,1988,1988,Encuesta Nacional de Seroepidemiologia,ENSE,National,both, 10+, 10+,17082,10743,,,,,,,,,,,17082,10743,,,,,,lab,,,,Central Latin America,Latin America and Caribbean
individual,MEX_1991_MCDS,Mexico,MEX,Yes,1990,1992,1991,Mexico City Diabetes Study,MCDS,Community,urban, 30+, 30+,1341,941,1337,935,1335,929,1335,929,1335,929,1341,939,1341,941,1341,941,1,1,12,,,,,Central Latin America,Latin America and Caribbean
individual,MEX_1993_ENEC,Mexico,MEX,Yes,1992,1993,1993,Encuesta Nacional de Enfermedades Cronicas,ENEC,National,urban, 20-69, 20-69,7724,5700,7663,5640,7714,5672,7709,5668,7709,5668,4439,3202,7724,5700,,,0,1,,lab,lab,lab,lab,Central Latin America,Latin America and Caribbean
individual,MEX_1994_MCDS,Mexico,MEX,Yes,1993,1995,1994,Mexico City Diabetes Study,MCDS,Community,urban, 34+, 34+,1034,707,1021,682,1029,688,1029,688,1029,688,1031,707,1034,707,1034,707,1,1,12,,,,,Central Latin America,Latin America and Caribbean
individual,MEX_1999_MCDS,Mexico,MEX,Yes,1997,1999,1999,Mexico City Diabetes Study,MCDS,Community,urban, 37+, 37+,982,701,958,673,963,683,963,683,963,683,982,698,982,701,982,701,1,1,12,,,,,Central Latin America,Latin America and Caribbean
summary,MEX_2005_CARMELA,Mexico,MEX,Yes,2004,2005,2005,CArdiovascular Risk factors Multiple Evaluation in Latin America (CARMELA),CARMELA,Community,urban, 25-64, 25-64,889,833,866,765,889,833,889,833,889,833,889,833,,,,,1,1,12+,lab,lab,lab,lab,Central Latin America,Latin America and Caribbean
individual,MEX_2006_ENSANUT,Mexico,MEX,Yes,2006,2006,2006,Encuesta Nacional de Salud Y Nutricion,ENSANUT,National,both, 20+, 20+,5136,3211,5107,3188,7047,3925,5115,3194,5115,3194,7075,3947,5136,3211,25062,19819,1,1,11.20424363,,,,,Central Latin America,Latin America and Caribbean
summary,MEX_2006_PREVENIMSS,Mexico,MEX,Yes,2006,2006,2006,PREVENIMSS National Coverage Surveys,PREVENIMSS,Subnational,both, 20+, 20+,11338,8721,,,,,,,,,,,11338,8721,,,,,,accutrend,,,,Central Latin America,Latin America and Caribbean
individual,MEX_2008_MCDS,Mexico,MEX,Yes,2007,2009,2008,Mexico City Diabetes Study,MCDS,Community,urban, 51+, 51+,711,460,,,,,,,,,711,460,711,460,705,459,1,1,12,,,,,Central Latin America,Latin America and Caribbean
individual,MEX_2011_ENNViH,Mexico,MEX,Yes,2009,2012,2011,Encuesta Nacional Sobre Niveles de vida de los Hogares,ENNViH,National,both, 15+, 15+,4072,2892,,,5090,4143,4027,2834,4027,2834,,,4072,2892,,,,,13.61992116,cardiocheck,,cardiocheck,,Central Latin America,Latin America and Caribbean
individual,MEX_2012_MHAS,Mexico,MEX,Yes,2012,2012,2012,The Mexican Health and Aging Study,MHAS,National,both, 50+, 50+,1082,770,,,1082,770,1082,770,1082,770,,,1082,770,,,,,,,,,,Central Latin America,Latin America and Caribbean
individual,MEX_2012_ENSANUT,Mexico,MEX,Yes,2011,2012,2012,Encuesta Nacional de Salud Y Nutricion,ENSANUT,National,both, 20+, 20+,6265,4162,6221,4105,6259,4160,6256,4158,6256,4158,6270,4163,6265,4162,,,1,,,,,,,Central Latin America,Latin America and Caribbean
individual,MEX_2016_ENSANUT,Mexico,MEX,Yes,2016,2016,2016,Encuesta Nacional de Salud Y Nutricion,ENSANUT,National,both, 20+, 20+,2597,1373,2464,1239,2595,1366,2595,1367,2595,1367,2594,1371,2597,1373,,,1,,,,,,,Central Latin America,Latin America and Caribbean
individual,MEX_2019_ENSANUT,Mexico,MEX,Yes,2018,2019,2019,Encuesta Nacional de Salud Y Nutricion,ENSANUT,National,both, 20+, 20+,7578,5607,7199,5054,7576,5602,7575,5601,7575,5601,7576,5600,7578,5607,9798,7584,1,,,,,,,Central Latin America,Latin America and Caribbean
individual,FSM_2002_STEPS_pohnpei,Micronesia (Federated States of),FSM,Yes,2002,2002,2002,STEPS,STEPS_pohnpei,Subnational,both, 25-64, 25-64,419,274,334,233,388,258,383,258,384,258,373,247,419,274,,,1,,,,,,,Polynesia and Micronesia,Oceania
individual,FSM_2006_STEPS_chuuk,Micronesia (Federated States of),FSM,Yes,2006,2006,2006,STEPS,STEPS_chuuk,Subnational,both, 15-64, 15-64,401,147,,,,,,,,,500,219,401,147,,,,,,accutrend,,,accutrend,Polynesia and Micronesia,Oceania
individual,FSM_2008_STEPS_pohnpei,Micronesia (Federated States of),FSM,Yes,2008,2008,2008,STEPS,STEPS_pohnpei,Subnational,both, 25-64, 25-64,500,304,,,,,,1,,1,422,264,500,304,,,,,,accutrend,,,accutrend,Polynesia and Micronesia,Oceania
individual,FSM_2009_STEPS_yap,Micronesia (Federated States of),FSM,Yes,2009,2009,2009,STEPS,STEPS_yap,Subnational,both, 15-64, 15-64,351,265,,,,,,,,,311,266,351,265,,,,,,accutrend,,,accutrend,Polynesia and Micronesia,Oceania
individual,FSM_2016_STEPS,Micronesia (Federated States of),FSM,Yes,2016,2016,2016,STEPS,STEPS,Subnational,both, 18-69, 18-69,767,470,,,,,,,,,500,304,767,470,817,512,,,,cardiocheck,,,cardiocheck,Polynesia and Micronesia,Oceania
individual,MDA_2013_STEPS,Moldova,MDA,Yes,2013,2013,2013,STEPS,STEPS,National,both, 18-69, 18-69,2358,1355,,,2350,1350,2298,1305,2300,1310,,,2358,1355,2330,1333,,,,cardiocheck,,cardiocheck,,Eastern Europe,Central and Eastern Europe
